video_path,filename,class_name,group_id,split
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c01.avi,v_Archery_g01_c01.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c02.avi,v_Archery_g01_c02.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c03.avi,v_Archery_g01_c03.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c04.avi,v_Archery_g01_c04.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c05.avi,v_Archery_g01_c05.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c06.avi,v_Archery_g01_c06.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g01_c07.avi,v_Archery_g01_c07.avi,Archery,01,val
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c01.avi,v_Archery_g02_c01.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c02.avi,v_Archery_g02_c02.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c03.avi,v_Archery_g02_c03.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c04.avi,v_Archery_g02_c04.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c05.avi,v_Archery_g02_c05.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c06.avi,v_Archery_g02_c06.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g02_c07.avi,v_Archery_g02_c07.avi,Archery,02,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g03_c01.avi,v_Archery_g03_c01.avi,Archery,03,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g03_c02.avi,v_Archery_g03_c02.avi,Archery,03,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g03_c03.avi,v_Archery_g03_c03.avi,Archery,03,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g03_c04.avi,v_Archery_g03_c04.avi,Archery,03,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g03_c05.avi,v_Archery_g03_c05.avi,Archery,03,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g04_c01.avi,v_Archery_g04_c01.avi,Archery,04,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g04_c02.avi,v_Archery_g04_c02.avi,Archery,04,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g04_c03.avi,v_Archery_g04_c03.avi,Archery,04,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g04_c04.avi,v_Archery_g04_c04.avi,Archery,04,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g04_c05.avi,v_Archery_g04_c05.avi,Archery,04,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g05_c01.avi,v_Archery_g05_c01.avi,Archery,05,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g05_c02.avi,v_Archery_g05_c02.avi,Archery,05,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g05_c03.avi,v_Archery_g05_c03.avi,Archery,05,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g05_c04.avi,v_Archery_g05_c04.avi,Archery,05,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g05_c05.avi,v_Archery_g05_c05.avi,Archery,05,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c01.avi,v_Archery_g06_c01.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c02.avi,v_Archery_g06_c02.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c03.avi,v_Archery_g06_c03.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c04.avi,v_Archery_g06_c04.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c05.avi,v_Archery_g06_c05.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g06_c06.avi,v_Archery_g06_c06.avi,Archery,06,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c01.avi,v_Archery_g07_c01.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c02.avi,v_Archery_g07_c02.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c03.avi,v_Archery_g07_c03.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c04.avi,v_Archery_g07_c04.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c05.avi,v_Archery_g07_c05.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g07_c06.avi,v_Archery_g07_c06.avi,Archery,07,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g08_c01.avi,v_Archery_g08_c01.avi,Archery,08,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g08_c02.avi,v_Archery_g08_c02.avi,Archery,08,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g08_c03.avi,v_Archery_g08_c03.avi,Archery,08,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g08_c04.avi,v_Archery_g08_c04.avi,Archery,08,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g08_c05.avi,v_Archery_g08_c05.avi,Archery,08,train
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c01.avi,v_Archery_g09_c01.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c02.avi,v_Archery_g09_c02.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c03.avi,v_Archery_g09_c03.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c04.avi,v_Archery_g09_c04.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c05.avi,v_Archery_g09_c05.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c06.avi,v_Archery_g09_c06.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g09_c07.avi,v_Archery_g09_c07.avi,Archery,09,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g10_c01.avi,v_Archery_g10_c01.avi,Archery,10,test
C:\Users\varun\OneDrive\Desktop\action-recognition-nlp\data\raw_videos\Archery\v_Archery_g10_c02.avi,v_Archery_g10_c02.avi,Archery,10,test
